sol,target,Easting,Northing,Easting,Latitude,Longitude,Easting Offset from Ronan,Northing Offset from Ronan,start_time,gnorm,sh_tavg,lifetime,Fe_FWHM,Na2O,Na2O_err,MgO,MgO_err,Al2O3,Al2O3_err,SiO2,SiO2_err,P2O5,P2O5_err,SO3,SO3_err,Cl,Cl_err,K2O,K2O_err,CaO,CaO_err,TiO2,TiO2_err,Cr2O3,Cr2O3_err,MnO,MnO_err,FeO,FeO_err,Ni,Ni_err,Zn,Zn_err,Br,Br_err,source_edrs,planning_target,
129,Flaherty,-272023.4539,8147271.959,-272023.4539,137.44915606111,-4.58950872973672,4704.458,4690.5607,00129M17:10:42,107.8,-23,6:01:01,149.6,2.59,0.14,8.67,0.25,8.2,0.19,41.36,0.43,0.93,0.07,6.42,0.08,1.18,0.02,0.42,0.02,6.63,0.07,0.95,0.03,0.49,0.01,0.36,0.02,21.6,0.26,441,24,795,24,324,10,APA_408992063ESC01300051576_______M2.DAT,,
161,Yukon,-272044.9392,8147260.576,-272044.9392,137.449147341095,-4.5895283472401,4693.075,4669.0754,00161M21:13:22,83.8,-31,2:01:01,144.1,2.95,0.14,7.71,0.17,9.94,0.29,43.85,0.54,0.97,0.07,7.02,0.1,1.01,0.02,0.64,0.02,6.94,0.07,1.01,0.03,0.31,0.01,0.36,0.02,17.16,0.2,384,20,489,15,83,5,APA_411817414ESC01610051986_______M6.DAT:APA_411837921ESC01620051986_______M6.DAT,,
154,Persillon,-272046.1023,8147260.059,-272046.1023,137.449153935923,-4.58953038134801,4692.558,4667.9123,00154M19:54:36,83.7,-30,4:02:26,144.6,2.47,0.14,8.14,0.17,7.9,0.19,40.37,0.43,0.99,0.07,9.7,0.1,1.44,0.02,0.53,0.02,7.75,0.08,0.86,0.03,0.36,0.01,0.23,0.02,19.08,0.2,778,40,614,20,102,5,APA_411191263ESC01540051954_______M1.DAT:APA_411205963ESC01540051954_______M2.DAT,,
158,Nastapoka,-272046.2229,8147260.45,-272046.2229,137.448773139453,-4.59049300520553,4692.949,4667.7917,00158M21:04:46,109,-34,4:57:55,143.6,2.64,0.14,8.83,0.25,8.76,0.19,44.59,0.54,1.12,0.07,4,0.05,1.93,0.03,0.61,0.02,5.35,0.06,0.94,0.03,0.43,0.01,0.21,0.02,20.37,0.26,668,35,756,24,197,10,APA_411550498ESC01580051954_______M2.DAT:APA_411568712ESC01590051954_______M4.DAT,,
323,Eqalulik,-272103.2958,8147237.873,-272103.2958,137.436863167787,-4.59749314300538,4670.372,4610.7188,00323M19:00:26,89,-29.1,4:00:00,146,2.98,0.14,8.26,0.17,8.75,0.19,42.03,0.43,0.8,0.05,6.05,0.08,1.15,0.02,0.78,0.02,6.54,0.07,0.85,0.03,0.65,0.01,0.36,0.02,20.63,0.26,275,15,962,30,166,10,APB_426205423ESC03230060804_______M2.DAT,,
360,Matthew,-272518.3262,8146531.744,-272518.3262,137.430406916034,-4.60048835846649,3964.243,4195.6884,00360M22:48:09,76.7,-53.4,4:00:00,156.4,4.84,0.2,4.66,0.17,13.76,0.29,49.41,0.54,0.73,0.05,3.9,0.08,0.65,0.02,1.67,0.06,7.23,0.08,0.76,0.03,0.06,0.01,0.27,0.02,11.96,0.13,68,10,299,10,15,5,APB_429504116ESC03610120000_______M2.DAT,,
373,Maya,-272695.9092,8146148.96,-272695.9092,137.426221730581,-4.60719796460011,3581.459,4018.1054,00373M21:33:34,29.3,-51.6,2:00:00,160.3,3.21,0.14,7.27,0.17,10.88,0.29,45.41,0.54,0.96,0.07,6.89,0.15,0.99,0.03,0.84,0.04,7.2,0.08,1.03,0.03,0.25,0.03,0.31,0.04,14.62,0.2,340,30,383,20,48,10,APB_430653584ESC03740140000_______M4.DAT,,
400,Shackleton,-273093.7143,8145900.825,-273093.7143,137.42622183178,-4.6072008319164,3333.324,3620.3003,00400M20:58:57,82.3,-51.3,7:20:15,146.1,3.15,0.14,7.21,0.17,10.95,0.29,44.99,0.54,0.99,0.07,7.35,0.08,1.18,0.02,0.73,0.02,7.07,0.08,0.87,0.03,0.19,0.01,0.27,0.02,14.86,0.2,214,15,688,24,143,5,APB_433048360ESC04010160148_______M2.DAT:APB_433064323ESC04010160148_______M1.DAT,,
399,Glossopteris_Gully,-273093.8843,8145900.831,-273093.8843,137.414943681691,-4.62231148924191,3333.33,3620.1303,00399M22:21:47,57.8,-55.9,4:00:00,152.5,3.89,0.14,5.64,0.17,13.64,0.29,47.53,0.54,0.88,0.05,6.62,0.1,1.34,0.03,0.85,0.04,6.53,0.07,0.71,0.03,0.09,0.01,0.17,0.02,11.93,0.13,102,10,621,20,114,5,APB_432964693ESC04000160148_______M2.DAT,,
442,Rensselaer,-273989.7784,8145232.162,-273989.7784,137.40718234563,-4.62649896517543,2664.661,2724.2362,00442M22:49:10,112.9,-59.5,2:30:00,149.9,2.45,0.14,8.37,0.25,8.34,0.19,43.07,0.54,0.77,0.05,5.74,0.08,1.24,0.02,2.52,0.08,5.72,0.07,0.86,0.03,0.48,0.01,0.41,0.02,19.81,0.26,282,15,1208,40,109,5,APB_436781880ESC04430220000_______M2.DAT,,
